อ	A
ชฏ	Jaṭa
ชฏา	Jaṭā
ชฏิต	Jaṭita
ชฏินฺ	Jaṭin
ชฏิล	Jaṭila
ชฏิลก	Jaṭilaka
ชฐร	Jaṭhara
ชณฺณุก	Jaṇṇu(ka)
ชตุ	Jatu
ชตฺตุ	Jattu
ชทฺธุ	Jaddhu
ชน	Jana
ชนก	Janaka
ชนตา	Janatā
ชนติ	Janati
ชนน	Janana
ชนปท	Janapada
ชนวติ	Janavati
ชนิตฺต	Janitta
ชเนตฺตี	Janettī
ชนฺตาฆร	Jantāghara
ชนฺติ	Janti
ชนฺตุ	Jantu
ชนฺนุ	Jannu
ชป	Japa
ชปฺปก	Jap(p)aka
ชปติ	Japati
ชปน	Japana
ชปฺปติ	Jappati
ชปฺปนา	Jappanā
ชปฺปา	Jappā
ชมฺพาล	Jambāla
ชมฺพุ	Jambu
ชมฺพุก	Jambuka
ชมฺโพนท	Jambonada
ชมฺภติ	Jambhati
ชมฺภนา	Jambhanā
ชมฺม	Jamma
ชมฺมน	Jamman(a)
ชย	Jaya
ชยติ	Jayati
ชยา	Jayā
ชร	Jara
ชรตา	Jaratā
ชรติ	Jarati
ชรา	Jarā
ชล	Jala
ชลติ	Jalati
ชลน	Jalana
ชลาพุ	Jalābu
ชลิต	Jalita
ชลูกา	Jalūkā
ชลูปิกา	Jalūpikā
ชโลคิ	Jalogi
ชลฺล	Jalla
ชลฺลิกา	Jallikā
ชฬ	Jaḷa
ชว	Java
ชวติ	Javati
ชวน	Javana
ชวนก	Javanaka
ชห	Jaha
ชหติ	Jahati
ชหิติกา	Jahitikā
ชาคร	Jāgara
ชาครณ	Jāgaraṇa
ชาครตา	Jāgaratā
ชาครติ	Jāgarati
ชาคริต	Jāgarita
ชาคริยา	Jāgariyā
ชาต	Jāta
ชาตก	Jātaka
ชาตตฺต	Jātatta
ชาติ	Jāti
ชาติก	Jātika
ชาติมนฺตฺ	Jātimant
ชาตุ	Jātu
ชาน	Jāna
ชานน	Jānana
ชานนก	Jānanaka
ชานนตา	Jānanatā
ชานปท	Jānapada
ชานาติ	Jānāti
ชานิ	Jāni
ชานุ	Jānu
ชานุก	Jānuka
ชาปยติ	Jāpayati
ชามาตรฺ	Jāmātar
ชายติ	Jāyati
ชายมฺปติกา	Jāyampatikā
ชายา	Jāyā
ชายิกา	Jāyikā
ชาร	Jāra
ชาล	Jāla
ชาลก	Jālaka
ชาลา	Jālā
ชาลินฺ	Jālin
ชาเลติ	Jāleti
ชิ	Ji
ชิคจฺฉา	Jigacchā
ชิคึสก	Jigiṃsaka
ชิคึสติ	Jigiṃsati
ชิคึสนตา	Jigiṃsanatā
ชิคุจฺฉก	Jigucchaka
ชิคุจฺฉติ	Jigucchati
ชิคุจฺฉน	Jigucchana
ชิคุจฺฉา	Jigucchā
ชิฆจฺฉติ	Jighacchati
ชิฆจฺฉา	Jighacchā
ชิญฺชุก	Jiñjuka
ชิณฺณ	Jiṇṇa
ชิณฺณก	Jiṇṇaka
ชิณฺณตา	Jiṇṇatā
ชิต	Jita
ชิตตฺต	Jitatta
ชิน	Jina
ชินาติ	Jināti
ชิมฺห	Jimha
ชิมฺหตา	Jimhatā
ชิมฺเหยฺย	Jimheyya
ชิยา	Jiyā
ชิวฺหา	Jivhā
ชีน	Jīna
ชียติ	Jīyati
ชีรก	Jīraka
ชีรณ	Jīraṇa
ชีรณตา	Jīraṇatā
ชีรติ	Jīrati
ชีเรติ	Jīreti
ชีว	Jīva
ชีวํ-ชีวก	Jīvaṃ-jīvaka
ชีวํชีวก	Jīvaṃ-jīvaka
ชีวก	Jīvaka
ชีวติ	Jīvati
ชีวน	Jīvana
ชีวมานก	Jīvamānaka
ชีวิกา	Jīvikā
ชีวิต	Jīvita
ชีวินฺ	Jīvin
ชุณฺหา	Juṇhā
ชุติ	Juti
ชุติก	Jutika
ชุติมตา	Jutimatā
ชุติมนฺตฺ	Jutimant
ชุติมนฺตตา	Jutimantatā
ชุหติ	Juhati
ชุหน	Juhana
ชูต	Jūta
เช	Je
เชคุจฺฉ	Jeguccha
เชคุจฺฉิตา	Jegucchitā
เชคุจฺฉินฺ	Jegucchin
เชฏฺฐ	Jeṭṭha
เชฏฺฐก	Jeṭṭhaka
เชติ	Jeti
เชวนีย	Jevanīya
โชตก	Jotaka
โชตติ	Jotati
โชตน	Jotana
โชติ	Joti
โชติมนฺตฺ	Jotimant
โชติสา	Jotisā
โชเตติ	Joteti
ฌตฺต	Jhatta
ฌตฺวา	Jhatvā
ฌส	Jhasa
ฌาน	Jhāna
ฌานิก	Jhānika
ฌาปก	Jhāpaka
ฌาปน	Jhāpana
ฌาปิต	Jhāpita
ฌาเปติ	Jhāpeti
ฌาม	Jhāma
ฌามก	Jhāmaka
ฌายก	Jhāyaka
ฌายติ	Jhāyati
ฌายน	Jhāyana
ฌายินฺ	Jhāyin
ฌิตฺวา	Jhitvā
ญตฺต	Ñatta
ญตฺติ	Ñatti
ญตฺวา	Ñatvā
ญาณ	Ñāṇa
ญาณิก	Ñāṇika
ญาณินฺ	Ñāṇin
ญาต	Ñāta
ญาตก	Ñātaka
ญาติ	Ñāti
ญาเปติ	Ñāpeti
ญาย	Ñāya
ญู	-Ñū
ฏนฺ	Ṭan
ฐ	Ṭha
ฐปน	Ṭhapana
ฐปนา	Ṭhapanā
ฐปิต	Ṭhapita
ฐเปติ	Ṭhapeti
ฐาน	Ṭhāna
ฐานีย	Ṭhānīya
ฐายิก	Ṭhāyika
ฐายินฺ	Ṭhāyin
ฐิต	Ṭhita
ฐิตก	Ṭhitaka
ฐิตตา	Ṭhitatā
ฐิตตฺต	Ṭhitatta
ฐิติ	Ṭhiti
ฐิฏิก	Ṭhiṭika
ฐียติ	Ṭhīyati
ฑํส	Ḍaṃsa
ฑฏฺฐ	Ḍaṭṭha
ฑสติ	Ḍasati
ฑหติ	Ḍahati
ฑาก	Ḍāka
ฑาห	Ḍāha
เฑติ	Ḍeti
ตฺ	-T-
ต	Ta°
ตก	Taka
ตกฺก	Takka
ตกฺกณ	Takkaṇa
ตกฺกร	Takkara
ตกฺกฬ	Takkaḷa
ตกฺการี	Takkārī
ตกฺกิก	Takkika
ตกฺกินฺ	Takkin
ตกฺเกติ	Takketi
ตกฺโกฏก	Takkoṭaka
ตกฺโกล	Takkola
ตคร	Tagara
ตคฺครุก	Taggaruka
ตคฺฆ	Taggha
ตจ	Taca
ตจฺจริต	Taccarita
ตจฺฉ	Taccha
ตจฺฉก	Tacchaka
ตจฺฉติ	Tacchati
ตจฺเฉติ	Taccheti
ตชฺช	Tajja
ตชฺชนา	Tajjanā
ตชฺชนิย	Tajjaniya
ตชฺชารี	Tajjārī
ตชฺชิต	Tajjita
ตชฺเชติ	Tajjeti
ตฏ	Taṭa
ตฏตฏายติ	Taṭataṭāyati
ตฏฺฏก	Taṭṭaka
ตฏฺฏิกา	Taṭṭikā
ตณฺฑุล	Taṇḍula
ตณฺฑุเลยฺยก	Taṇḍuleyyaka
ตณฺหา	Taṇhā
ตณฺหียติ	Taṇhīyati
ตต	Tata
ตติย	Tatiya
ตโต	Tato
ตตฺต	Tatta
ตตฺตก	Tattaka
ตตฺถ	Tattha
ตตฺร	Tatra
ตถ	Tatha
ตถตา	Tathatā
ตถตฺต	Tathatta
ตถา	Tathā
ตถาคต	Tathāgata
ตถิย	Tathiya
ตทนุรูป	Tadanurūpa
ตทา	Tadā
ตทงฺค	Tadaṅga.
ตทูปิก	Tadūpika
ตนย	Tanaya
ตนุ	Tanu
ตนุก	Tanuka
ตนุตร	Tanutara
ตนุตฺต	Tanutta
ตโนติ	Tanoti
ตนฺต	Tanta
ตนฺตก	Tantaka
ตนฺติ	Tanti
ตนฺตุ	Tantu
ตนฺทิต	Tandita
ตนฺที	Tandī
ตป	Tapa
ตปติ	Tapati
ตปน	Tapana
ตปนีย	Tapanīya
ตปสฺสินฺ	Tapassin
ตปฺปณ	Tappaṇa
ตปฺปติ	Tappati
ตปฺปร	Tappara
ตปฺเปตรฺ	Tappetar
ตพฺ	Tab°
ตม	Tama
ตมาล	Tamāla
ตมฺพ	Tamba
ตมฺพูล	Tambūla
ตย	Taya
ตโย	Tayo
ตร	Tara
ตรงฺค	Taraṅga
ตรจฺฉ	Taraccha
ตรณ	Taraṇa
ตรติ	Tarati
ตรหิ	Tarahi
ตริ	Tari
ตริตตฺต	Taritatta
ตรุ	Taru
ตรุณ	Taruṇa
ตล	Tala
ตลิก	Talika
ตลุณ	Taluṇa
ตฬาก	Taḷāka
ตส	Tasa
ตสติ	Tasati
ตสร	Tasara
ตสิณา	Tasiṇā
ตสิต	Tasita
ตสฺส	Tassa
ตสฺส-ปาปิยฺยสิกา	Tassa-pāpiyyasikā
ตสฺสปาปิยฺยสิกา	Tassa-pāpiyyasikā
ตาณ	Tāṇa
ตาณตา	Tāṇatā
ตาต	Tāta
ตาตรฺ	Tātar
ตาทินฺ	Tādin
ตาทิน	Tādina
ตาทิส	Tādisa
ตาทิสก	Tādisaka
ตาปน	Tāpana
ตาปส	Tāpasa
ตาเปติ	Tāpeti
ตาม	Tāma
ตายติ	Tāyati
ตายิตรฺ	Tāyitar
ตารกา	Tārakā
ตารา	Tārā
ตาเรติ	Tāreti
ตาล	Tāla
ตาลีส	Tālīsa
ตาลุ	Tālu
ตาฬ	Tāḷa
ตาฬี	Tāḷī
ตาเฬติ	Tāḷeti
ตาว	Tāva
ตาวตก	Tāvataka
ตาวตา	Tāvatā
ตาวตึส	Tāvatiṃsa
ตาวต	Tāvata
ตาส	Tāsa
ตาสนิย	Tāsaniya
ตาหํ	Tāhaṃ
ติ	Ti
ตึสํ	Tiṃsaṃ
ติก	Tika
ติกิจฺฉก	Tikicchaka
ติกิจฺฉติ	Tikicchati
ติกิจฺฉา	Tikicchā
ติกฺกํ	Tikkaṃ
ติกฺข	Tikkha
ติกฺขตฺตุํ	Tikkhattuṃ
ติขิณ	Tikhiṇa
ติฏฺฐ	Tiṭṭha
ติฏฺฐติ	Tiṭṭhati
ติณ	Tiṇa
ติณว	Tiṇava
ติณฺฑุก	Tiṇḍuka
ติณฺณ	Tiṇṇa
ติณฺห	Tiṇha
ติติกฺขติ	Titikkhati
ติติกฺขา	Titikkhā
ติตฺต	Titta
ติตฺตก	Tittaka
ติตฺตกตฺต	Tittakatta
ติตฺติ	Titti
ติตฺติก	Tittika
ติตฺติมนฺตฺ	Tittimant
ติตฺติร	Tittira
ติตฺติริย	Tittiriya
ติตฺถ	Tittha
ติตฺถิก	Titthika
ติตฺถิย	Titthiya
ติถิ	Tithi
ติทส	Tidasa
ติธา	Tidhā
ตินฺต	Tinta
ตินฺตก	Tintaka
ตินฺติณ	Tintiṇa
ตินฺติณาติ	Tintiṇāti
ตินฺทุก	Tinduka
ติปุ	Tipu
ติปุส	Tipusa
ติปฺป	Tippa
ติพฺพ	Tibba
ติมิ	Timi
ติมิงฺคล	Timiṅgala
ติมิร	Timira
ติมิรติปิงฺคล	Timiratipiṅgala
ติมิรายิตฺตต	Timirāyittata
ติมิส	Timisa
ติมีสิกา	Timīsikā
ติมฺพรุ	Timbaru
ติมฺพรุกฺข	Timbarukkha
ติมฺพรูสก	Timbarūsaka
ติรจฺฉ	Tiraccha
ติรจฺฉาน	Tiracchāna
ติริยํ	Tiriyaṃ
ติริยา	Tiriyā
ติริวจฺฉ	Tirivaccha
ติรีฏ	Tirīṭa
ติโร	Tiro
ติโรกฺข	Tirokkha
ติล	Tila
ติลก	Tilaka
ติลญฺฉก	Tilañchaka
ติสต	Tisata
ตีร	Tīra
ตีรณ	Tīraṇa
ตีริย	Tīriya
ตีเรติ	Tīreti
ตีวรา	Tīvarā
ตีหํ	Tīhaṃ
ตุ	Tu
ตุงฺค	Tuṅga
ตุจฺฉ	Tuccha
ตุจฺฉก	Tucchaka
ตุชฺชติ	Tujjati
ตุฏฺฐ	Tuṭṭha
ตุฏฺฐิ	Tuṭṭhi
ตุณฺฑ	Tuṇḍa
ตุณฺฑก	Tuṇḍaka
ตุณฺฑิก	Tuṇḍika
ตุณฺฑิย	Tuṇḍiya
ตุณฺหิกฺขก	Tuṇhikkhaka
ตุณฺหี	Tuṇhī
ตุณฺหียติ	Tuṇhīyati
ตุณฺหีร	Tuṇhīra
ตุตฺต	Tutta
ตุทติ	Tudati
ตุทมฺปตี	Tudampatī
ตุนฺน	Tunna
ตุม	Tuma
ตุมุล	Tumula
ตุมฺพ	Tumba
ตุมฺหาทิส	Tumhādisa
ตุมฺเห	Tumhe
ตุร	Tura
ตุรติ	Turati
ตุริต	Turita
ตุริย	Turiya
ตุรี	Turī
ตุล	Tula
ตุลนา	Tulanā
ตุลสิ	Tulasi
ตุลา	Tulā
ตุลิต	Tulita
ตุลิย	Tuliya
ตุเลติ	Tuleti
ตุลฺย	Tulya
ตุวํ	Tuvaṃ
ตุวฏํ	Tuvaṭaṃ
ตุวฏฺเฏติ	Tuvaṭṭeti
ตุวนฺตุว	Tuvantuva
ตุสฺสติ	Tussati
ตุสฺสน	Tussana
ตูณิร	Tūṇira
ตูณี	Tūṇī
ตูล	Tūla
ตูลิกา	Tūlikā
ตูลินี	Tūlinī
เต	Te°
เตกิจฺฉ	Tekiccha
เตช	Teja
เตชเต	Tejate
เตชน	Tejana
เตชวนฺตฺ	Tejavant
เตชินฺ	Tejin
เตตฺตึส	Tettiṃsa
เตมน	Temana
เตเมติ	Temeti
เตน	Tena
เตรส	Terasa
เตโรวสฺสิก	Terovassika
เตล	Tela
เตฬก	Teḷaka
เตลิย	Teliya
เตวิชฺช	Tevijja
โตมร	Tomara
โตย	Toya
โตรณ	Toraṇa
โตสน	Tosana
โตสาปน	Tosāpana
โตเสติ	Toseti
ตฺย	Tya
ตฺยสฺสุ	Tyassu
ตฺวํ	Tvaṃ
ตฺวาตํ	Tvātaṃ
ถกน	Thakana
ถเกติ	Thaketi
ถญฺญ	Thañña
ถณฺฑิล	Thaṇḍila
ถทฺธ	Thaddha
ถน	Thana
ถนก	Thanaka
ถนิต	Thanita
ถนินฺ	Thanin
ถเนติ	Thaneti
ถปติ	Thapati
ถพฺภ	Thabbha
ถมฺภ	Thambha
ถมฺภก	Thambhaka
ถมฺภติ	Thambhati
ถมฺภนา	Thambhanā
ถมฺภิตตฺต	Thambhitatta
ถมฺภินฺ	Thambhin
ถรณ	Tharaṇa
ถรติ	Tharati
ถรุ	Tharu
ถล	Thala
ถว	Thava
ถวติ	Thavati
ถวิกา	Thavikā
ถาม	Thāma
ถามก	Thāmaka
ถามวนฺตฺ	Thāmavant
ถาร	Thāra
ถาล	Thāla
ถาลก	Thālaka
ถาลิกา	Thālikā
ถาลี	Thālī
ถาวร	Thāvara
ถาวริย	Thāvariya
ถาวเรยฺย	Thāvareyya
ถาโสตุ	Thāsotu°
ถิก	Thika
ถิณฺณ	Thiṇṇa
ถิร	Thira
ถิรตา	Thiratā
ถี	Thī
ถีน	Thīna
ถียติ	Thīyati
ถียนา	Thīyanā
ถุต	Thuta
ถุติ	Thuti
ถุนติ	Thunati
ถุลฺล	Thulla
ถุส	Thusa
ถูณา	Thūṇā
ถูณิร	Thūṇira
ถูป	Thūpa
ถูปิก	Thūpika
ถูปิกต	Thūpikata
ถูล	Thūla
ถูลตา	Thūlatā
เถต	Theta
เถน	Thena
เถนก	Thenaka
เถเนติ	Theneti
เถยฺย	Theyya
เถร	Thera
เถรก	Theraka
เถรี	Therī
เถว	Theva
เถวติ	Thevati
โถก	Thoka
โถกก	Thokaka
โถม	Thoma
โถมน	Thomana
โถเมติ	Thometi
ทฺ	-D-
ท	-Da
ทํสก	Daṃsaka
ทํเสติ	Daṃseti
ทก	Daka
ทกฺข	Dakkha
ทกฺขติ	Dakkhati
ทกฺขิณ	Dakkhiṇa
ทกฺขิณา	Dakkhiṇā
ทกฺขิเณยฺย	Dakkhiṇeyya
ทกฺขิเณยฺยตา	Dakkhiṇeyyatā
ทกฺขิต	Dakkhita
ทกฺขินฺ	Dakkhin
ทกฺเขยฺย	Dakkheyya
ทฏฺฐ	Daṭṭha
ทฏฺฐรฺ	Daṭṭhar
ทฏฺฐา	Daṭṭhā
ทฑฺฒ	Daḍḍha
ทฑฺฒิ	Daḍḍhi°
ทณฺฑ	Daṇḍa
ทณฺฑก	Daṇḍaka
ทณฺฑนิย	Daṇḍaniya
ทตฺต	Datta
ทตฺติ	Datti
ทตฺติก	Dattika
ทตฺติย	Dattiya
ทตฺตุ	Dattu
ทท	Dada
ททาติ	Dadāti
ททฺทภ	Daddabha
ททฺทภายติ	Daddabhāyati
ททฺทร	Daddara
ททฺทฬฺหติ	Daddaḷhati
ททฺทุ	Daddu
ททฺทุล	Daddula
ทธิ	Dadhi
ทนฺต	Danta
ทนฺตก	Dantaka
ทนฺธ	Dandha
ทนฺธตา	Dandhatā
ทนฺธนตา	Dandhanatā
ทนฺธายนา	Dandhāyanā
ทนฺธายิตตฺต	Dandhāyitatta
ทนฺเธติ	Dandheti
ทเปติ	Dapeti
ทปฺป	Dappa
ทปฺปิต	Dappita
ทพฺพ	Dabba
ทพฺพี	Dabbī
ทพฺภ	Dabbha
ทภกฺกํ	Dabhakkaṃ
ทม	Dama
ทมก	Damaka
ทมถ	Damatha
ทมน	Damana
ทมย	Damaya
ทมิต	Damita
ทเมตรฺ	Dametar
ทเมติ	Dameti
ทมฺปติ	Dampati
ทมฺม	Damma
ทยติ	Dayati
ทยา	Dayā
ทร	Dara
ทรถ	Daratha
ทรี	Darī
ทล	Dala
ทลติ	Dalati
ทลิทฺท	Dalidda
ทฬิทฺทตา	Daḷiddatā
ทฬิทฺทิย	Daḷiddiya
ทฬฺห	Daḷha
ทฬฺหี	Daḷhī°
ทว	Dava
ทวฺย	Davya
ทส	Dasa
ทสก	Dasaka
ทสน	Dasana
ทสา	Dasā
ทสิก	Dasika
ทสฺส	Dassa
ทสฺสติ	Dassati
ทสฺสน	Dassana
ทสฺสนีย	Dassanīya
ทสฺสเนยฺย	Dassaneyya
ทสฺสาวิตา	Dassāvitā
ทสฺสาวินฺ	Dassāvin
ทสฺสิก	Dassika
ทสฺสิต	Dassita
ทสฺสินฺ	Dassin
ทสฺสิมนฺตฺ	Dassimant
ทสฺสุ	Dassu
ทสฺเสตรฺ	Dassetar
ทสฺเสติ	Dasseti
ทสฺโส	Dasso
ทห	Daha
ทหติ	Dahati
ทหน	Dahana
ทหร	Dahara
ทหรก	Daharaka
ทาฐา	Dāṭhā
ทาฐิกา	Dāṭhikā
ทาฐินฺ	Dāṭhin
ทาตรฺ	Dātar
ทาตฺต	Dātta
ทาน	Dāna
ทานว	Dānava
ทานิ	Dāni
ทาปน	Dāpana:
ทาปิต	Dāpita
ทาเปติ	Dāpeti
ทาม	Dāma
ทาย	Dāya
ทายก	Dāyaka
ทายชฺช	Dāyajja
ทายติ	Dāyati
ทายน	Dāyana
ทายาท	Dāyāda
ทายาทก	Dāyādaka
ทายิก	Dāyika
ทายินฺ	Dāyin
ทาร	Dāra
ทารก	Dāraka
ทาริกา	Dārikā
ทารุ	Dāru
ทารุก	Dāruka
ทารุณ	Dāruṇa
ทาลน	Dālana
ทาลิกา	Dālikā
ทาฬิทฺทิย	Dāḷiddiya
ทาเลติ	Dāleti
ทาว	Dāva
ทาวิก	Dāvika
ทาส	Dāsa
ทาสก	Dāsaka
ทาสพฺยตา	Dāsabyatā
ทาสวฺย	Dāsavya
ทาสิตฺต	Dāsitta
ทาสิม	Dāsima
ทาสิยา	Dāsiyā
ทาสี	Dāsī
ทาห	Dāha
ทิ	Di°
ทิกฺขิต	Dikkhita
ทิคุจฺฉา	Digucchā
ทิฆจฺฉา	Dighacchā
ทิฆญฺญ	Dighañña
ทิจฺฉติ	Dicchati
ทิช	Dija
ทิฏฺฐ	Diṭṭha
ทิฏฺฐก	Diṭṭhaka
ทิฏฺฐา	Diṭṭhā
ทิฏฺฐิ	Diṭṭhi
ทิฏฺฐิก	Diṭṭhika
ทิฏฺฐิตา	Diṭṭhitā
ทิฏฺฐินฺ	Diṭṭhin
ทิณฺณ	Diṇṇa
ทิตฺต	Ditta
ทิทฺธ	Diddha
ทิน	Dina
ทินฺทิภ	Dindibha
ทินฺทิม	Dindima
ทินฺน	Dinna
ทินฺนก	Dinnaka
ทิปฺปติ	Dippati
ทิพฺพ	Dibba
ทิพฺพติ	Dibbati
ทิรสญฺญุ	Dirasaññu
ทิว	Diva
ทิวส	Divasa
ทิวา	Divā
ทิวิ	Divi°
ทิวิลฺล	Divilla
ทิวฺย	Divya
ทิส	Disa
ทิสตา	Disatā
ทิสติ	Disati
ทิสา	Disā
ทิสฺสติ	Dissati
ทีฆ	Dīgha
ทีฆตฺต	Dīghatta
ทีน	Dīna
ทีนตฺต	Dīnatta
ทีป	Dīpa
ทีปก	Dīpaka
ทีปน	Dīpana
ทีปิก	Dīpika
ทีปิต	Dīpita
ทีปิตรฺ	Dīpitar
ทีปินฺ	Dīpin
ทีเปติ	Dīpeti
ทุ	Du°
ทุก	Duka
ทุกูล	Dukūla
ทุกฺข	Dukkha
ทุกฺขตา	Dukkhatā
ทุกฺขติ	Dukkhati
ทุกฺขตฺต	Dukkhatta
ทุกฺขาปน	Dukkhāpana
ทุกฺขาปิต	Dukkhāpita
ทุกฺขาเปติ	Dukkhāpeti
ทุกฺขิต	Dukkhita
ทุกฺขินฺ	Dukkhin
ทุกฺขียติ	Dukkhīyati
ทุคฺค	Dugga
ทุฏฺฐ	Duṭṭha
ทุฏฺฐุ	Duṭṭhu
ทุฏฺฐุลฺล	Duṭṭhulla
ทุติย	Dutiya
ทุติยก	Dutiyaka
ทุติยฺยตา	Dutiyyatā
ทุทฺทภ	Duddabha
ทุทฺทโส	Duddaso:
ทุทฺธ	Duddha
ทุทฺรภิ	Dudrabhi
ทุโนติ	Dunoti
ทุนฺทุภิ	Dundubhi
ทุปฏฺโฏ	Dupaṭṭo
ทุผสฺโส	Duphasso:
ทุปฺปพฺพชฺชงฺ	Duppabbajjaṅ:
ทุปฺปมุญฺโจ	Duppamuñco:
ทุปฺปญฺโญ	Duppañño:
ทุปฺปสโห	Duppasaho:
ทุปฺปติมนฺติโย	Duppatimantiyo:
ทุปฺปฏิปชฺโช	Duppaṭipajjo:
ทุปฺปฏิวิชฺโฌ	Duppaṭivijjho
ทุปฺปเวโส	Duppaveso:
ทุปฺปูโร	Duppūro:
ทุพฺพณฺณ	Dubbaṇṇa
ทุพฺพุฏฺฐิก	Dubbuṭṭhika
ทุพฺภ	Dubbha
ทุพฺภก	Dubbhaka
ทุพฺภติ	Dubbhati
ทุพฺภน	Dubbhana
ทุพฺภย	Dubbhaya
ทุพฺภิก	Dubbhika
ทุพฺภิกฺข	Dubbhikkha
ทุพฺภินฺ	Dubbhin
ทุภ	Dubha
ทุภย	Dubhaya
ทุม	Duma
ทุยฺหติ	Duyhati
ทุสฺส	Dussa
ทุสฺสก	Dussaka
ทุสฺสติ	Dussati
ทุสฺสนา	Dussanā
ทุสฺสนีย	Dussanīya
ทุสฺสสฺส	Dussassa
ทุสฺสิก	Dussika
ทุสฺสิตตฺต	Dussitatta
ทุห	Duha
ทุหติ	Duhati
ทุหน	Duhana
ทุหิติก	Duhitika
ทูต	Dūta
ทูเตยฺย	Dūteyya
ทูภ	Dūbha
ทูภก	Dūbhaka
ทูภน	Dūbhana
ทูภินฺ	Dūbhin
ทูภี	Dūbhī
ทูร	Dūra
ทูรกฺข	Dūrakkha
ทูรตฺต	Dūratta
ทูสก	Dūsaka
ทูสน	Dūsana
ทูสิต	Dūsita
ทูสินฺ	Dūsin
ทูเสติ	Dūseti
ทูหน	Dūhana
ทูหิติก	Dūhitika
เทชฺฌ	Dejjha
เทฑฺฑุภ	Deḍḍubha
เทฑฺฑุภก	Deḍḍubhaka
เทณฺฑิม	Deṇḍima
เทปิจฺฉ	Depiccha
เทยฺย	Deyya
เทว	Deva
เทวก	Devaka
เทวต	Devata
เทวตา	Devatā
เทวติ	Devati
เทวตฺต	Devatta
เทวตฺตน	Devattana
เทวร	Devara
เทวสิก	Devasika
เทส	Desa
เทสก	Desaka
เทสนา	Desanā
เทสิก	Desika
เทสิต	Desita
เทเสตรฺ	Desetar
เทเสติ	Deseti
เทสฺส	Dessa
เทสฺสตา	Dessatā
เทสฺสติ	Dessati
เทสฺสินฺ	Dessin
เทห	Deha
เทหก	Dehaka
เทหินฺ	Dehin
โทณ	Doṇa
โทณิก	Doṇika
โทณิกา	Doṇikā
โทนี	Donī
โทณี	Doṇī
โทพฺภคฺค	Dobbhagga
โทภ	Dobha
โทมนสฺส	Domanassa
โทลา	Dolā
โทลายติ	Dolāyati
โทวจสฺส	Dovacassa
โทวจสฺสตา	Dovacassatā
โทวจสฺสิย	Dovacassiya
โทวาริก	Dovārika
โทวิล	Dovila
โทส	Dosa
โทสนิย	Dosaniya
โทสา	Dosā
โทสินฺ	Dosin
โทสินา	Dosinā
โทห	Doha
โทหก	Dohaka
โทหติ	Dohati
โทหฬ	Dohaḷa
โทหฬายติ	Dohaḷāyati
โทหฬินี	Dohaḷinī
โทหินฺ	Dohin
ทฺรูภ	Drūbha
ทฺว	Dva°
ทฺวย	Dvaya
ทฺวา	Dvā
ทฺวาร	Dvāra
ทฺวาริก	Dvārika
ทฺวิ	Dvi
ทฺวิกฺขตฺตุํ	Dvikkhattuṃ
ทฺวิตฺตา	Dvittā
ทฺวิธา	Dvidhā
ทฺวีห	Dvīha
ทฺวีหิก	Dvīhika
ทฺวีหิติก	Dvīhitika
ทฺเว	Dve
ทฺเวชฺฌ	Dvejjha
ทฺเวชฺฌตา	Dvejjhatā
ทฺเวธา	Dvedhā
ทฺเวธาปถ	Dvedhāpatha
ทฺเวฬฺหก	Dveḷhaka
ธํสติ	Dhaṃsati
ธํสน	Dhaṃsana
ธํสินฺ	Dhaṃsin
ธงฺก	Dhaṅka
ธช	Dhaja
ธชินี	Dhajinī
ธญฺญ	Dhañña
ธต	Dhata
ธน	Dhana
ธนตฺต	Dhanatta
ธนวนฺตฺ	Dhanavant
ธนายติ	Dhanāyati
ธนิก	Dhanika
ธนิต	Dhanita
ธนิย	Dhaniya
ธนุ	Dhanu
ธนุก	Dhanuka
ธนฺต	Dhanta
ธม	Dhama
ธมก	Dhamaka
ธมติ	Dhamati
ธมธมายติ	Dhamadhamāyati
ธมนิ	Dhamani
ธมฺม	Dhamma
ธมฺมตา	Dhammatā
ธมฺมตฺต	Dhammatta
ธมฺมนิ	Dhammani
ธมฺมิก	Dhammika
ธมฺมินฺ	Dhammin
ธมฺมิย	Dhammiya
ธมฺมิลฺล	Dhammilla
ธมฺมี	Dhammī
ธยติ	Dhayati
ธร	Dhara
ธรณ	Dharaṇa
ธรติ	Dharati
ธว	Dhava
ธวล	Dhavala
ธวลตา	Dhavalatā
ธาต	Dhāta
ธาตรฺ	Dhātar
ธาตี	Dhātī
ธาตุ	Dhātu
ธาตุก	Dhātuka
ธาตุร	Dhātura
ธาน	Dhāna
ธานิย	Dhāniya
ธาร	Dhāra
ธารก	Dhāraka
ธารณ	Dhāraṇa
ธารณก	Dhāraṇaka
ธารณตา	Dhāraṇatā
ธารณา	Dhāraṇā
ธารา	Dhārā
ธารินฺ	Dhārin
ธาเรตรฺ	Dhāretar
ธาเรติ	Dhāreti
ธาเรยฺย	Dhāreyya
ธาว	Dhāva
ธาวติ	Dhāvati
ธาวน	Dhāvana
ธาวินฺ	Dhāvin:
ธิ	Dhi
ธิกฺกิต	Dhikkita
ธิติ	Dhiti
ธิติมนฺตฺ	Dhitimant
ธีตรฺ	Dhītar
ธีตลิกา	Dhītalikā
ธีติกา	Dhītikā
ธีน	Dhīna
ธียติ	Dhīyati
ธีร	Dhīra
ธุต	Dhuta
ธุตตฺต	Dhutatta
ธุตฺต	Dhutta
