อ	A
อติกรุณ	Atikaruṇa
อติกสฺส	Atikassa
อติกาล	Atikāla
อติกฺกนฺต	Atikkanta
อติกฺกนฺติกา	Atikkantikā
อติกฺกม	Atikkama
อติกฺกมณก	Atikkamaṇaka
อติกฺกมติ	Atikkamati
อติกฺกเมติ	Atikkameti
อติ-กฺ-ขิปฺปํ	Ati-k-khippaṃ
อติกฺขิปฺปํ	Ati-k-khippaṃ
อติขณ	Atikhaṇa
อติขาต	Atikhāta
อติขิณ	Atikhiṇa
อติค	Atiga
อติคจฺฉติ	Atigacchati
อติคาเฬติ	Atigāḷeti
อติคาฬฺห	Atigāḷha
อติคาฬฺหิต	Atigāḷhita
อติโฆร	Atighora
อติจรณ	Aticaraṇa
อติจรติ	Aticarati
อติจริตรฺ	Aticaritar
อติจริยา	Aticariyā
อติจาร	Aticāra
อติจารินฺ	Aticārin
อติจิตฺร	Aticitra
อติจฺจ	Aticca
อติจฺฉติ	Aticchati
อติจฺฉตฺต	Aticchatta
อติตาต	Atitāta
อติตรติ	Atitarati
อติตุจฺฉ	Atituccha
อติตุฏฺฐิ	Atituṭṭhi
อติตุล	Atitula
อติตฺต	Atitta
อติตฺถ	Atittha
อติถิ	Atithi
อติทาน	Atidāna
อติทารุณ	Atidāruṇa
อติทิฏฺฐิ	Atidiṭṭhi
อติทิวา	Atidivā
อติทิสติ	Atidisati
อติทีฆ	Atidīgha
อติทุกฺข	Atidukkha
อติทูร	Atidūra
อติเทว	Atideva
อติธมติ	Atidhamati
อติธาตตา	Atidhātatā
อติธาวติ	Atidhāvati
อติโธนจารินฺ	Atidhonacārin
อตินาเมติ	Atināmeti
อตินิคฺคณฺหาติ	Atiniggaṇhāti
อตินีจก	Atinīcaka
อติเนติ	Atineti
อติปณฺฑิต	Atipaṇḍita
อติปณฺฑิตตา	Atipaṇḍitatā
อติปทาน	Atipadāna
อติปปญฺจ	Atipapañca
อติปริจฺจาค	Atipariccāga
อติปสฺสติ	Atipassati
อติปาต	Atipāta
อติปาตินฺ	Atipātin
อติปาเตติ	Atipāteti
อติปีณิต	Atipīṇita
อติปีฬิต	Atipīḷita
อติปฺปโค	Atippago
อติพทฺธ	Atibaddha
อติพนฺธติ	Atibandhati
อติพหล	Atibahala
อติพาฬฺห	Atibāḷha
อติพาเหติ	Atibāheti
อติพฺรหฺมา	Atibrahmā
อติพฺรูเหติ	Atibrūheti
อติภคินิ-ปุตฺต	Atibhagini-putta
อติภคินิปุตฺต	Atibhagini-putta
อติภาร	Atibhāra
อติภาริต	Atibhārita
อติภาริย	Atibhāriya
อติภุญฺชติ	Atibhuñjati
อติภุตฺต	Atibhutta
อติโภติ	Atibhoti
อติมญฺญติ	Atimaññati
อติมญฺญนา	Atimaññanā
อติมนาป	Atimanāpa
อติมโนรม	Atimanorama
อติมโนหร	Atimanohara
อติมนฺทก	Atimanda(ka)
อติมมายติ	Atimamāyati
อติมหนฺตฺ	Atimahant
อติมาน	Atimāna
อติมานินฺ	Atimānin
อติมาเปติ	Atimāpeti
อติมุขร	Atimukhara
อติมุตฺตก	Atimuttaka
อติมุทุก	Atimuduka
อติยกฺข	Atiyakkha
อติยาจก	Atiyācaka
อติยาจนา	Atiyācanā
อติรตฺตึ	Atirattiṃ
อติรสฺส	Atirassa
อติราชา	Atirājā
อติริจฺจติ	Atiriccati
อติริตฺต	Atiritta
อติริว	Atiriva
อติเรก	Atireka
อติเรกตา	Atirekatā
อติโรจติ	Atirocati
อติลีน	Atilīna
อติลูข	Atilūkha
อติโลม	Atiloma
อติวงฺกินฺ	Ativaṅkin
อติวณฺณติ	Ativaṇṇati
อติวตฺต	Ativatta
อติวตฺตติ	Ativattati
อติวตฺตรฺ	Ativattar
อติวส	Ativasa
อติวสฺสติ	Ativassati
อติวากฺย	Ativākya
อติวาต	Ativāta
อติวายติ	Ativāyati
อติวาห	Ativāha
อติวาหิก	Ativāhika
อติวิกาล	Ativikāla
อติวิชฺฌติ	Ativijjhati
อติวิย	Ativiya
อติวิสา	Ativisā
อติวิสฺสฏฺฐ	Ativissaṭṭha
อติวิสฺสาสิก	Ativissāsika
อติวิสฺสุต	Ativissuta
อติเวเฐติ	Ativeṭheti
อติเวล	Ativela
อติสญฺจร	Atisañcara
อติสณฺห	Atisaṇha
อติสนฺต	Atisanta
อติสมฺพาธ	Atisambādha
อติสย	Atisaya
อติสยติ	Atisayati
อติสร	Atisara
อติสรติ	Atisarati
อติสายํ	Atisāyaṃ
อติสาร	Atisāra
อติสิถิล	Atisithila
อติสีต	Atisīta
อติสีตล	Atisītala
อติหฏฺฐ	Atihaṭṭha
อติหรติ	Atiharati
อติหิต	Atihita
อติหีน	Atihīna
อติหีเฬติ	Atihīḷeti
